Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,25937,504,300.0,1155.7060127274142,4.977083999619936,65320.11257399972,1324.7477734510544,86.56248683079505,1.6820562656714617,300,600,840,1000,1600,3000,15000,20000,26000,34000,65000
,Aggregated,25937,504,300.0,1155.7060127274142,4.977083999619936,65320.11257399972,1324.7477734510544,86.56248683079505,1.6820562656714617,300,600,840,1000,1600,3000,15000,20000,26000,34000,65000
